row.names,subject,question,correct_response,response,score,trial_index
32,1,"Is 2 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,"yes, I can make 0-9 by just moving clockwise by 2. ",1,58
33,1,"Is 3 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,"no, I can only make 3, 6, and 0 with 3 as a generator",1,59
34,1,"Is 5 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,"no, I can only make 5 and 0 with 5 as a generator",0,60
35,1,"Is 6 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,"no, I can only make 6, 3, and 0 with 6 ",1,61
89,2,Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,"Yes, you can make every number using just 2 under +9",1,58
90,2,Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,"No, it's not possible to make any number that's not 0 or a multiple of 3 with just 3.",1,59
91,2,Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,"No, you can't make several numbers with just a 5 under +9.",0,60
92,2,Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.,,"No, you can't make numbers other  than 3,  6, and 9 with just 6.",1,61
146,3,"Is 2 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,yes because if you move 2 starting from zero and keep moving in twos then you make all the numbers,1,58
147,3,"Is 3 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Plea se expla in in words how you got your answer.",,"no because if you start at 0 and move in threes you can only make 0, 3, 6",1,59
148,3,"Is 5 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,Yes because if you start at 0 and move in 5s clockwise you will make all the numbers,1,60
149,3,"Is 6 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,"No because if you start at 0 and move in 6s then you will only be able to make 0, 3, 6",1,61
205,4,"Is 2 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,"Yes, because every number can be reached by 2.",1,60
206,4,"Is 3 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,"Yes, because every number can be reached by 3.",0,61
207,4,"Is 5 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,"Yes, because every number can be reached by 5.",1,62
208,4,"Is 6 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you g ot your  answer.",,"Yes, because every number can be reached by 6.",0,63
264,5,"Is 2 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,"2 is not a generator under the new symbol because 0,2,3 and 4, cannot make all the elements  ",0,60
265,5,"Is 3 a generator under <img src=\""./images/nonagon_symbol.png\"" style=\""width:14px;height:14px\"">? Please explain in words how you got your answer.",,3 is ot a generator under the new symbol because it cannot make every element,0,61
