row.names,subject,correct_response,response,score,trial_index
42,1,True,because it will likely only hit 4 numbers that it will be able to divie into,0,69
45,1,Sometimes,a guess,0,72
99,2,True,"True. If you can't form every element, then you'll only be able to form whatever is a common multiple of x and n",1,69
101,2,sometimes,"Sometimes (I just realized after choosing always). If x +n x is odd (and n is even), then it should be able to form every element. It won't otherwise, I think",1,71
156,3,True,I don't know,0,69
159,3,Sometimes,I don't know the answer to this,0,72
215,4,True,"I don't know, I can't think about it this abstractly.",0,71
218,4,Sometimes,"I don't know, I'm having trouble at this point.",0,74
274,5,True,It must be a multiple of a divisor of n because it is either an inverse number or the new operation.,0,71
277,5,Sometimes,I f element x is a generator under n then x n x is not a generator under n because it would not be a 5 or a 1,0,74
331,6,True,because only even numbers have divisors ,0,69
334,6,Sometimes,it's not an even number,0,72
390,7,True,"True, if x is not a multiple of the imaginary number it must be another function of that number",1,71
393,7,Sometimes,It's never a generator under n because x n x would be a multiple of that number.,0,74
449,8,True,"false, I really don't know",0,71
452,8,Sometimes,"yes, if one is true the other should be true as well",0,74
508,9,True,"I believe this is false, but cannot, even remotely, begin to explain why. I am so sorry; I do not know the answer, and it's not for lack of effort -- I'm really just not understanding this. My best guess: It is false because x not being a generator would imply (based on my understanding) that it is either 0,2,3,4,5,6,7 -- which, I don't believe accurately corresponds to *not* being a multiple of a divisor of n. I realize  this is,  more than likely, breathtakingly inaccurate. ",0,71
511,9,Sometimes,"I do not know. I am guessing always because, based on my understanding, x would only correspond to 1 and 8 in that case. ",0,74
567,10,True,I really have no idea....,0,71
569,10,sometimes,I dont know if it is ._. I am so confused ,0,73
626,11,True,"I think it might be true because in the case of +6, 2,4, and 3 were not generators. And each of those numbers are multiples/divisors of 6 itself or the other non generators while the generator numbers(1,5) were not multiples/divisors of 6 or any numbers related to it.",1,71
628,11,sometimes,"I chose sometimes because in the case of +6, 1 and 5 were generators and they are both the inverse of each other. However, 2 and 4 were non generators and they were the inverse of each other.",1,73
683,12,True,If x is not higher than the generator it is a multiple,0,69
685,12,sometimes,"I can't. I don't understand this far along since I would have had questions, and I don't understand the divisor portion.",0,71
740,13,True,"If x can be multiplied or divided by n, the only numbers it can return are the factors that it and n have in common. ",0,69
743,13,Sometimes,"Sometimes. 5(9)5 is a generator, but 5(6)5 is not. If there is a rule defining when it is or is not the case, it's beyond me.",1,72
809,14,True,"True because it still needs to equal +n, I'm not really sure at all though.",1,91
811,14,sometimes,"Sometimes, it depends on the formula? I'm not sure at all.",1,93
866,15,True,I believe that there would be nothing that could be divided by n to be a generator. ,0,69
868,15,sometimes,Sometimes; it depends on what x is.,1,71
925,16,True,Because it would keep it from creating all other numbers when done with +_n,0,71
927,16,sometimes,Because sometimes it would be able to create all other numbers depending on what n was.,0,73
984,17,True,"A generator needs to generate every other number, but that's not possible if n is evenly divisible by x.",0,71
987,17,Sometimes,I have no idea if my answer is correct. I'm having difficulty following this statement and understanding whether x(n)x is an expression.,0,74
1041,18,True,"True, I don't understand generators, I'm just guessing. ",1,69
1044,18,Sometimes,"Sometimes, another guess, I have no idea what this is even asking. ",1,72
1100,19,True,Because it would be an even number no matter it's multiplication by the divisor ,0,71
1103,19,Sometimes,"Yes because the inherent property of a generator is X by X, therefore proving it",0,74
1157,20,True,False.Ithinkthiswouldhaveexceptions.,0,69
1159,20,sometimes,Sometimes.Ithinktherewouldalwaysbeexceptionsuchashow+6and+9haddifferentgenerators.,1,71
1214,21,True,I don't know.,0,69
1217,21,Sometimes,I don't know.,0,72
1273,22,True,"(I freely admit that you've lost me. I'm trying, I really am, but SO NOT an algebra person here.) This one at least seems to make sense... if x is a multi ple of a  divisor of n, it can't be a generator, because it's just going to start looping as you repeat the operation in sequence.",1,71
1275,22,sometimes,"Sometimes... I don't know why across any  +n, but  1 is a generator under +6, but 1 +6 1 is not a generator, because 2 under +6 is not a generator, being only able to produce even results. But... without testing out every possibility, I can conceive circumstances under which x +n x could produce a generator element. I'm just having trouble getting my head around it enough to prove it. :(",1,73
1332,23,True,When I knew n it seemed that way.,0,71
1334,23,sometimes,Beyond my ability.,0,73
1391,24,True,I don't even understand the question,0,71
1393,24,sometimes,No one knows what you're talking about,0,73
