"subject","question","correct_response","response","trial_index"
"33","1","Is 2 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No, you don't do anything to the number because 2 is less than 9.",60
"34","1","Is 3 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No, you don't do anything to the number since 3 is less than 9. ",61
"35","1","Is 5 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No, you don't do anything to 5 since it is less than 9.",62
"36","1","Is 6 a generator under +<sub>9</sub>? Please explain in words how you got your answer.","","No, you don't do anything to 6 since it is less than 9.",63
"91","2","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words ho w you go t your answer.","","Yes.  Because 9 is an odd number, the second pass around the circle as you keep adding 2 will pick up the odd numbers.",60
"92","2","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Ple ase expl ain in words how you got your answer.","","No, it will be a loop of 3,6,0",61
"93","2","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","Well lets, see.  The path would be starting with 5@0 --- 5,1,6,2,7,3,8,4 ",62
"94","2","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","So when I tried to do a carriage return on the previous page it submitted.  Yes to five as a generator.  For 6, the path would be: 6, 3, 0, 6 and it's a loop, so no.",63
"149","3","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer .","","In this case, 2 would be a generator as you can create every other number with two movements clockwise (since the shape is an odd sided). If the shape were even sided, we could not say this was true",60
"150","3","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;heigh t:14px >? Please explain in words how you got your answer.","","It is not a generator as most numbers could not be created by three movements.  Starting at zero, we could only create 3,6, and 0",61
"151","3","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how  you got  your answer.","","In this case, we can create every number under the number 5 as five clockwise movements would eventually generate each of the numbers on the shape",62
"152","3","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","In this case, it could not as six clicks of the dial pointer would only land on every third number.  Starting at zero, we could only generate numbers 3,6 and 0.  Numbers which could be generated would form a 'Y' pattern",63
"207","4","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","yes. 2 can generate every other number by consecutively adding 2 clockwise",60
"208","4","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no. It always lands on 3, 6, or 0",61
"209","4","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","yes. adding 5 consecutively clockwise gives you every number.",62
"210","4","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","No. It will always land on 6, 0, or 3",63
"265","5","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","yes, because you can reach any number with 2",60
"266","5","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no",61
"267","5","Is 5 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no",62
"268","5","Is 6 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","no",63
"323","6","Is 2 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","I don't know. I am very confused about generators.",60
"324","6","Is 3 a generator under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>? Please explain in words how you got your answer.","","I don't know. I am very confused about generators.",61
