row.names,subject,question,correct_response,response,score,trial_index
26,1,What is 4 +<sub>9</sub> 1? Please explain in words how you got your answer.,,"5 - 4 plus 1 is less than nine, so you leave the number alone. ",1,53
27,1,What is 8 +<sub>9</sub> 4? Please explain in words how you got your answer.,,"3, 8 plus 4 equals 12, then you subtract  9 from t his.",1,54
84,2,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,5,1,53
85,2,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,3,1,54
142,3,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,"Start the pointer at 4, move it clockwise one position to get 5",1,53
143,3,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,"Start the pointer at 8, move it clockwise four positions and end up at 3",1,54
200,4,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,5. I moved clockwise 1 space.,1,53
201,4,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,3,1,54
258,5,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,"5. I began at 4, and progressed clockwise one step to 5.",1,53
259,5,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,"I began  at 8, then progressed 4 steps clockwise to arrive at 3",1,54
316,6,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain  in words  how you got your answer.,,5. I moved the arrow one place clockwise. That number was 5. I also already know that 4 + 1 = 5.,1,53
317,6,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,"3. I moved the arrow 3 positions clockwise, and that number is 3. I also know that 8 + 4 = 12, and 12 - 9 = 3.",1,54
374,7,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,"5 - you can either use the diagram, or add the numbers together and compare their sum to 9. Since (4+1) < 9, y ou can j ust add them together to get 5, the answer.",1,53
375,7,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,"3 - you can use the diagram, or add them together and compare them to 9. Since (8+4) > 9, you have to subtract 9 to get a final answer, so the final answer would be (8+4)-9 = 3.",1,54
432,8,What is 4 +<sub>9</sub> 1? Please explain in words how you got your answer.,,5.  You add 4 and 1 and get 5 and 5 is less than 9 so that's your answer.,1,53
433,8,What is 8 +<sub>9</sub> 4? Please explain in words how you got your answer.,,3 because 8 plus 4 is 12 and 12 is greater than 9 so you deduct 9 and get 3,1,54
490,9,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,5,1,53
491,9,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,3. I put the arrow on 8 and counted 4 ahead. ,1,54
548,10,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,"5. I added 1 to 4, which is the same as going one step further around the circle.",1,53
549,10,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you g ot your  answer.,,3. I went four steps past 8 around the circle.,1,54
606,11,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,5. 5 is 1 place clockwise from 4.,1,53
607,11,Wh at is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,3. 3 is 4 places clockwise from 8.,1,54
664,12,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,5...4 clock wise 1,1,53
665,12,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,3...8 clock wise 4,1,54
722,13,What is 4 +<sub>9</sub> 1? Please explain in words how you got your answer.,,"5, because 4 + 1 = 5, which is below 9.",1,53
723,13,What is 8 +<sub>9</sub> 4? Please explain in words how you got your answer.,,"3, because 8 + 4 = 12 - 9 = 3",1,54
780,14,What is 4 +<sub>9</sub> 1? Please explain in words how you got your answer.,,i added 4 and 1. 5,1,53
781,14,What is 8 +<sub>9</sub> 4? Please explain in words how you got your answer.,,3.added 8 and 4 then subtracted 9,1,54
838,15,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,5,1,53
839,15,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,3,1,54
896,16,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,"5, I started at 4 and went around clockwise 1 time.",1,53
897,16,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,"3, I started at 8 and went around clockwise 4 times.",1,54
954,17,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,5. i just went one number forward on the wheel,1,53
955,17,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,3. moved 4 numbers forward on the wheel,1,54
1012,18,What is 4 +<sub>9</sub> 1? Please explain in words how you got your answer.,,4*1=5 5 is less than 9 so 5 is the answer,1,53
1013,18,What is 8 +<sub>9</sub> 4? Please explain in words how you got your answer.,,8+4=12 12-9=3 3 is the answer because you have to subtract 9 from answers that are 9 or greater,1,54
1080,19,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,I added 1 to 4 and got 5. ,1,73
1081,19,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,i added 4 to 8 and got 3 clicks around the nonagon,1,74
1138,20,What is 4 <img src=./images/nonagon_symbol.png style=width:1 4px;height:14px> 1? Please explain in words how you got your answer.,,Add 4 +1 which = 5 and since it is less than 9 the answer is 5,1,53
1139,20,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,The answer is 3 because 8+4=12. Then I subtract 9 from 12 which gave me 3. ,1,54
1196,21,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,5. I added 4 and 1.,1,53
1197,21,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,3. I added 8 and 4 and subtracted 9.,1,54
1254,22,What is 4 +<sub>9</sub> 1? Please explain in words how you got your answer.,,5. You add 4 + 1 which = 5. 5 is less than 9 so that's the answer.,1,53
1255,22,What is 8 +<sub>9</sub> 4? Please explain in words how you got your answer.,,3. 8+4 is 12. 12 is greater than 9 so you subtract 9 from 12 which is 3.,1,54
1312,23,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,5,1,53
1313,23,What is 8 <img src=./i mages/no nagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,I start at 8 and go 4 spaces and it takes me to 3 on the non(thingy),1,54
1370,24,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,5 - 4+1 = 5 and it's less than 9,1,53
1371,24,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,3 because 8+4=12 then subtract 9 = 3,1,54
1428,25,What is 4 +<sub>9</sub> 1? Please explain in words how you got your answer.,,4+1 is 5 which is smaller than 9 so you leave it alone,1,53
1429,25,What is 8 +<sub>9</sub> 4? Please explain in words how you got your answer.,,8+4 is 12 which is larger than 9 so you subtract 9 and the answer is 3,1,54
1486,26,What is 4 +<sub>9</sub> 1? Please explain in words how you got your answer.,,5,1,53
1487,26,What is 8 +<sub>9</sub> 4? Please explain in words how you got your answer.,,3,1,54
1544,27,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,5 is 1 past 4 on the diagram.,1,53
1545,27,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,3 is 4 after 8 on the diagram.,1,54
1602,28,What  is 4 <i mg src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,"5, 4+1 = 5 which is <9",1,53
1603,28,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,"3, 8 + 4 = 12 which is >9 so 12-9=3",1,54
1670,29,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 1? Please explain in words how you got your answer.,,the answer is 5 because 4 plus 1 is 5,1,73
1671,29,What is 8 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 4? Please explain in words how you got your answer.,,the answer is 3 because 8 to the 9 plus 4 is 3,1,74
1728,30,What is 4 <img src=./images/nonagon_symbol.png style=width:14px;he ight:14p x> 1? Please explain in words how you got your answer.,,"I move the pointer over 1 space since the 1 is on the right, I start my movement form the 4 because it is the number on the left so the answer is 5.",1,53
