"subject","correct_response","response","trial_index"
"43","1","True","False, it doesn't sound right.",71
"45","1","sometimes","Never, it sounds right, I have no idea beyond that.",73
"101","2","True","If I'm parsing that correctly (I'm ~22 years removed from calculus), a  multipl e of a divisor would produce a loop effect -- the same numbers each rotation.",71
"103","2","Sometimes","Wouldn't that depend on the value of N?",73
"159","3","True","True, as an even number (as 'x') would have to be a divisor of the number of sides in the s hape (if  even-sided, as it would be if not a generator)",71
"161","3","Sometimes","Sometimes as depending on what 'n' is will determine whether or not x 'n' x can generate every number",73
"217","4","True","because it would be an even number that can be equally divided. I really don't know though honestly",71
"219","4","Sometimes","I'm not sure of the answer to the previous question. I just guessed, because now I am confused. ",73
"275","5","True","unsure",71
"277","5","Sometimes","uncertain",73
"333","6","True","I can't. I am so confused by this question. I'm sorry again!",71
"335","6","sometimes","I don't know. I had to guess. I really am trying here, I swear.",73
"391","7","True","I think I explained this to the best of my ability a moment ago. If (n) is divisible by x, then you will keep hitting the same points on the diagram, if you think of it visually. For example, for an (n) of 9 and an x of 3, if you start at 0, the generated values will be 0,3,6,0,3,6... - you can tell that other numbers will never be generated.",71
"393","7","sometimes","If x is divisible by n, then it's inverse will not necessarily be divisi ble by n , but it will be a generator. I don't know how to explain this other than by considering the example given before - when x=3 and n=9, x is not a generator, nor is its inverse, although 9/6 is not a whole number.",73
"449","8","True","False because when you multiply it out it could be a generator or not",71
"451","8","sometimes","It's never a generator because you cou ld have  a value that produces 0.",73
"507","9","True","I think as long as it is even it is correct.",71
"509","9","Sometimes","I think it sometimes could be.",73
"565","10","True","True. If it's a multiple of a divisor of n, it will always go past a section the size of that divisor.",71
"567","10","Sometimes","Sometimes. It just depends on whether the next number shares a factor with n or not.",73
"623","11","True","I don't know the answer",71
"625","11","Sometimes","I don't know the answer",73
"681","12","True","no idea",71
"683","12","Sometimes","no idea",73
"739","13","True","It depends on what X is, if it's 1 it is a generator and if it's 2 it  isn",71
"741","13","som etimes","Again, depending on what X is, undoubtedly sometime its inverse will be a generator. ",73
"797","14","True","not sure",71
"799","14","sometimes","not sure",73
"855","15","True","I have no idea, this all seems over my head right now.",71
