"subject","correct_response","response","trial_index"
"49","1",""," College Algebra",78
"107","2","","Calculus III (quarter system)",78
"165","3","","Pre calculus",78
"223","4","","College Algebra",78
"281","5","","I am in Corporate Finance at the moment. I have taken Business Calculus and some accounting courses.",78
"339","6","","College Algebra",78
"397","7","","Calculus 3 and Advanced Statistics",78
"455","8","","pre calculus in high school and statistics in college.",78
"513","9","","Algebra 1",78
"571","10","","Precalculus",78
"629","11","","Trigonometry, Geometry",78
"687","12","","calculus ",78
"745","13","","Probably AP Calc because I never completed the college math course because of a job opportunity. ",78
"803","14","","statistics",78
"861","15","","Calculus.",78
"919","16","","Geometry",78
"977","17","","Algebra 1",78
"1035","18","","basic math, I hope I understood this OK ",78
"1103","19","","geometry and pre-algebra. ",98
"1161","20","","Pharmacology",78
"1219","21","","Statistics.",78
"1277","22","","algebra 1. I'm horrible at math.",78
"1335","23","","College Algebra",78
"1393","24","","algebra",78
"1451","25","","algebra I think",78
"1509","26","","Calculus 3",78
"1567","27","","Trigonometry. I have used very little math since I left school, so I remember little of it.   ",78
"1625","28","","L inear Algebra",78
"1693","29","","cant remember right now but algebra something",98
"1751","30","","College Algebra",78
"1809","31","","differential equations",78
"1867","32","","Algebra 2 in HS, College Math",78
"1925","33","","Algebra",78
"1983","34","","High school Algebra 2.",78
"2041","35","","college algebra and statistics",78
"2099","36","","Calculus, I think",78
"2157","37","","Statistics in college",78
"2215","38","","I had a college calculus class about 7 years ago. I think that was the most advanced.",78
"2273","39","","Basic algebra  in high school is the last I remember and I cannot complete the coursework today. ",78
"2331","40","","algebra 3",78
"2389","41","","AP Calculus A & B",78
"2447","42","","College Algebra",78
"2505","43","","Trig. Pre-calculus ",78
"2563","44","","Trigonometry, Calculus",78
"2621","45","","Algebra",78
"2679","46","","College Calculus III",78
"2737","47","","Calculus BC",78
"2795","48","","basic math",78
"2853","49","","Algebra 1, Geometry, Algebra 2, Trigonometry",78
"2911","50","","College Algebra",78
"2969","51","","Algebra II (Im not entirely sure, that was 20 yrs ago)",78
