"subject","correct_response","response","trial_index"
"37","1","n-1","1 + 0",65
"38","1","n-x","1x +n - since the inverse is going to be 1.",66
"95","2","n-1","inverse = (n)-1",65
"96","2","n-x","0 is in the N spot, so to speak, and you're only 1 step into the circle.  if you're at N, the inverse is N.  If you're one step in, it's n-1",66
"153","3","n-1","inv erse = n umber of sides - 1",65
"154","3","n-x","The number of the inverse would be however many clicks it would take to move from point X to the the identity in our example. X + identity = number of sides",66
"211","4","n-1","I don't know",65
"212","4","n-x","I don't know how to get this answer",66
"269","5","n- 1","unsure",65
"270","5","n-x","unsure",66
"327","6","n-1","1 + 2 = 3 and 3 - 3 = 0",65
"328","6","n-x","I can't answer this. I'm sorry, I just don't know.",66
"385","7","n-1","(n) - 1",65
"386","7","n-x","The formula would be (n) - x, because it follows the pattern shown by shapes of every other size, and also, if you think about it, to make one whole rotation around the shape, you need to make (n) jumps, so if you have already taken x, you need to take the rest o f n, whi ch is represented by (n) - x. Kind of hard to explain.",66
"443","8","n-1","n -n",65
"444","8","n-x","It is a number that will give zero",66
"501","9","n-1","1n0",65
"502","9","n-x","I'm not sure.",66
"559","10","n-1","n-1",65
"560","10","n-x","x-n. That is the remaining distance back to 0.",66
"617","11","n-1","1n8=0",65
"618","11","n-x","x n ? = 0",66
"675","12","n-1","n-1",65
"676","12","n-x","x-n and idk how to explain it",66
"733","13","n-1","6, because 1 +6 +n (6) = 0",65
"734","13","n-x","I am sorry, I am totally unsure how to answer. I have put a lot of time into this HIT, and I hope this doesn't effect my approval. I am genuinely trying my hardest.",66
"791","14","n-1","not sure",65
"792","14","n-x","not sure",66
"849","15","n-1","x=n-1",65
"850","15","n-x","x=n+x",66
"907","16","n-1","(n)*2",65
"908","16","n-x","2(n) * x",66
"965","17","n-1","i'm not sure",65
"966","17","n-x","i have no idea",66
"1023","18","n-1","1 + n _ = 0",65
"1024","18","n-x","x + n _ = 0 what number added to x minus  n equals zero ",66
"1091","19","n-1","ok now im lost. ",85
"1092","19","n-x","i cant math. i havent been in algebra in almost 20 years. ",86
"1149","20","n-1","3n",65
"1150","20","n-x","Since n can be any counting number then it would be xn ",66
"1207","21","n-1","n - 1 = 0",65
"1208","21","n-x","x - n =0",66
"1265","22","n-1","1+n",65
"1266","22","n-x","I honestly have no clue this is getting a little too complicated for me",66
"1323","23","n-1","1 n 1",65
"1324","23","n-x","x n 1 I really don't know. I assume the inverse would be whatever it is plus itself.",66
"1381","24","n-1","1+2=3",65
"1382","24","n-x","It is 1+2=3.",66
"1439","25","n-1","+n-2",65
"1440","25","n-x","x=+n-2. I have no idea I'm just guessing",66
"1497","26","n-1","n-1",65
