"row.names","subject","correct_response","response","explanation","score","math_high"
"59","1",,"Basic college entry",,0,0
"126","2",,"trig in high school.  statistics in college",,0,1
"184","3",,"algebra",,0,0
"242","4",,"Calculus 3",,0,1
"300","5",,"numerical analysis",,0,1
"358","6",,"AP Calculus in High School.",,0,1
"426","7",,"Geometry Course but I hated it. ",,0,0
"484","8",,"algebra 1",,0,0
"542","9",,"Differential Equations, though frankly I did poorly.  Calc 2.",,0,1
"600","10",,"College Algerbra",,0,0
"658","11",,"pre-calc",,0,1
"735","12",,"Statistics 2",,0,1
"793","13",,"Discrete Mathematics and Single variable calculus.",,0,1
"860","14",,"Algebra II . I am not a math person by any stretch. ",,0,1
"927","15",,"algebra 1",,0,0
"994","16",,"Algebra II. I went to vocational high school, so the academics weren't strenuous. ",,0,1
"1052","17",,"market behavior",,0,1
"1119","18",,"Econometrics, honestly forget what type of crazy math was being used",,0,1
"1177","19",,"Calc BC",,0,1
"1235","20",,"Tri gonometr y ",,0,1
"1293","21",,"Basic math, fractions, algebra",,0,0
"1351","22",,"College Algebra",,0,0
"1409","23",,"I have a PhD in numerical methods, from Stanford actually.",,0,1
"1476","24",,"modern algebra, linear algebra, differential equations, intro to advanced math",,0,1
"1534","25",,"Calculus",,0,1
"1601","26",,"Statistics ",,0,1
"1659","27",,"discreet mathematics. ",,0,1
"1727","28",,"algebra",,0,0
"1794","29",,"Statistics ",,0,1
"1852","30",,"Calculus III in college.",,0,1
"1910","31",,"Calculus",,0,1
"1968","32",,"algebra 1",,0,0
"2026","33",,"Algebra 2",,0,1
"2084","34",,"High school SR year Math (It was a long long time ago, I do n't reca ll what it was, Alegebra?)",,0,0
"2142","35",,"algebra",,0,0
"2209","36",,"Physics 2, Calculus 1",,0,1
"2267","37",,"Alegbra",,0,0
"2334","38",,"Algebra 2",,0,1
"2401","39",,"college algebra",,0,0
"2459","40",,"algebra",,0,0
"2517","41",,"Calculus 2",,0,1
"2584","42",,"Psychology",,0,0
"2642","43",,"statistics",,0,1
"2700","44",,"Pre-algabra",,0,0
"2767","45",,"algebra 2",,0,1
"2835","46",,"Some  college ",,0,0
"2902","47",,"college algebra",,0,0
"2969","48",,"Algebra 101, which I had to have special tutoring in.  ",,0,0
"3027","49",,"I have a college degree, but I really don't know what math classes I needed. It was a few years ago. Algebra, maybe? ",,0,0
"3085","50",,"College Algebra",,0,0
"3143","51",,"Calculus 2, but it was a long time ago",,0,1
"3201","52",,"calculus 2",,0,1
"3259","53",,"College Algebra, Statistics, Calculus and Quantitative Analysis.",,0,1
"3317","54",,"College Algebra",,0,0
"3384","55",,"Calculus 1-4, Advanced calculus, discrete mathematics, math statistics, bio-statistics",,0,1
"3451","56",,"I can't remember. It was a generic math requirement for social sciences that was less difficult than calculus.",,0,1
"3519","57",,"High school math",,0,0
"3586","58",,"Calc II",,0,1
"3653","59",,"Calculus",,0,1
"3720","60",,"college algebra ",,0,0
"3778","61",,"Calculus",,0,1
"3845","62",,"AP Algebra 2 (I took Pre-Calculus but failed it twice in high  school  and in college)",,0,1
"3903","63",,"multi-variable calculus",,0,1
"3961","64",,"Calculus ",,0,1
"4028","65",,"College  Algebra.  Maybe something beyond that, it's been a long time.",,0,0
"4086","66",,"Calculus 3 in college.",,0,1
"4144","67",,"Algebra 1",,0,0
"4202","68",,"Business calculus",,0,1
"4270","69",,"I have completed calculus. ",,0,1
"4337","70",,"algebra ",,0,0
"4395","71",,"Calculus II",,0,1
"4462","72",,"trig",,0,1
"4520","73",,"Algebra 3",,0,1
"4578","74",,"Algebra",,0,0
"4636","75",,"Calculus",,0,1
"4703","76",,"Calculus",,0,1
"4761","77",,"I took sequential math (NY State) I, II, and II I in hig h school - so, 10th/11th grade math. ",,0,1
"4819","78",,"Algebra ",,0,0
"4886","79",,"Calculus in college",,0,1
"4944","80",,"Algebra",,0,0
"5002","81",,"I have a masters in Mathematics.  Topology, Advanced Algebra, Number Theory.",,0,1
"5060","82",,"Statistic s or pre calculus.",,0,1
"5127","83",,"Algebra II",,0,1
"5195","84",,"I took algebra in high school",,0,0
"5253","85",,"Calculus",,0,1
"5321","86",,"algerbra",,0,0
"5379","87",,"High school algebra 2.",,0,1
