"row.names","subject","correct_response","response","explanation","score"
"47","1","n-1","3",,0
"48","1","n-x","8","Just a guess",0
"105","2","n-1","1",,0
"106","2","n-x","number n number","what ever number takes you around to zero or n",0
"172","3","n-1","no idea",,0
"173","3","n-x","no idea","none",0
"230","4","n-1","n - 1 = inverse",,1
"231","4","n-x","n - x = inverse.","This works because essentially you want your inverse value to cause x + that value to be equal to n. Thus to most easily find that number the quickest method would be to take n and subtract x to get the value that would cause x to equal n if added together.",1
"288","5","n-1","n-1",,1
"289","5","n-x","n-x","I just remember that it added up to the operation(?) number, so for it to add up to n points with x, the formula would be n-x",1
"346","6","n-1","n=1",,0
"347","6","n-x","n = x","1 +_1 1=0, 2 +_2 2=0, etc...",0
"414","7","n-1","I don't know...",,0
"415","7","n-x","I don't know the a nswer..","I don't know the answer..",0
"472","8","n-1","1n8",,0
"473","8","n-x","not sure","no idea",0
"530","9","n-1","n-1",,1
"531","9","n-x","n-x","The definition of an inverse pair are two numbers (from 0 to n-1) which add together to get 0: that is, complete a full revolution.  This means they sum to the number of points on the circle, which is n.  Given value x as one of the numbers, we get x+(???)=n, and moving things around we get ???=n-x.  The potential problem is with x=0, because the answer can't be n (as n doesn't exist) so we have to assume part of the logic is to reduce the final answer such that we get 0 as necessary.",1
"588","10","n-1","1 +n n = n-n",,0
"589","10","n-x","E +n X = 0","E is the element, and X is the inverse that produces 0, which is the element under +n",0
"646","11","n-1","n=n-2",,0
"647","11","n-x","n=n-x","To get the inverse the number 'x' must be subtracted from the whole.",1
"714","12","n-1","1+x=n",,0
"715","12","n-x","x+ y=n","The inverse is the number that is added to x to achieve n",0
"781","13","n-1","1+x=+_n, +_n-1=x",,0
"782","13","n-x","x +_n y =0 ","Since 0 is the identity you need to find what number will make the sum with x+y=n to  give yo u the identity. Therefore y is the inverse of x.",0
"839","14","n-1","1+2=0",,0
"840","14","n-x","x+3=0","Sorry I am getting lost at this moment",0
"906","15","n-1","I'm not sure",,0
"907","15","n-x","0","I'm not sure. I don't understand this hit anymore",0
"973","16","n-1","1",,0
"974","16","n-x","X(n)","Umm, I dont know what this means at all.",0
"1040","17","n-1","n-1",,1
"1041","17","n-x","n-x","distance between n and x",1
"1098","18","n-1","n - 1",,1
"1099","18","n-x","n - x","n, the total number before getting back to zero, minus the starting number will produce the number that needs to be added to get to zero",1
"1165","19","n-1","depends on what you pick as n if we pick +3 we can do something along the lines of 2 and 2 =4 -3 =1 and 2 would be the inverse.",,0
"1166","19","n-x","x= n-1 +n-1=x","i concluded this off the last one where we got the new element x and assume we can create it under the solution of that an we set n equal to a number normally 2 hjigher than it and take n-1 add it together and subtract n from it.",0
"1223","20","n-1","1 +n x = 0",,0
