"row.names","subject","question","correct_response","response","score"
"49","1","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"If there is I don't see it.",0
"77","2","What is 0 <img src=./images/hexagon_symbol.png style=width:14px;height:14px> 5? <br /><br /> (Remember, to perform <img src=./images/hexagon_symbol.png style=width:14px;height:14px>, you can either use a method based on the hexagon at right, or a method based on arithmetic.<br /><br /><b>Hexagon method:</b> you can use the interactive diagram on the right, or perform the operation in your mind. Point the arrow at the first number, then move the arrow the second number of points clockwise around the hexagon. The number the arrow arrives at is your result. <br /><br /><b>Arithmetic method:</b> you start with the first number, and then add the second one to it. If the sum is smaller than 6, that's your result. If the sum is 6 or bigger, you subtract 6 to get your result.)","5","5 ",1
"107","2","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"i'm not sure, odd number seem to be generators more often then even numbers",0
"149","3","What is the inverse of 2 under <img src=./images/hexagon_symbol.png style=width:14px;height:14px>? <br /><br /> (Remember, the inverse of an element is the thing which you combine with it to produce the identity.)","4","00",0
"174","3","Is there a pattern to which elements are generators? How can you know if  an eleme nt x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"yes",0
"232","4","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"1 will always be a generator. Beyond that, the smallest whole number which n is divisible by to equal a whole number (we'll call this g) if x is any value of g times some number then x cannot be a generator for n.",0
"290","5","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"I would assume there is a pattern, but I cannot figure out what that would be.  But if every time you go around the loop your starting position advances by 1 or some other multiple that works then it would work.",0
"348","6","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"If +n is even, only odd elements will be generators.
If +n is odd, even element can be a generator.",0
"416","7","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"I don't know the answer..",0
"474","8","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"no you can't",0
"532","9","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"We know it's definitely a generator if it's 1.  We know it isn't if it cleanly divides into n and isn't 1, because then each additive revolution is the same and misses some.  I think we can tell by comparing x and n.  Break each down into prime elements (ie, 25= 5x5, 24=2x2x2x3 etc).  If they have any commonalities, they aren't?",0
"590","10","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"I don't know if they is a pattern. If there is, I have not discovered.",0
"648","11","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"There is a pattern but without knowing how many elements there are there is no way to know which patterns apply.",0
"708","12","What is the inverse of 0 under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>?","0"," 0",1
"716","12","Is there a pattern to which elements are generators? How can you know i f an ele ment x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"Multiples of the number",0
"783","13","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"I am not sure if there is a pattern. The o nly way  I understand to find out if they are a generator is to see if plugging them in +_n and go through all the sums will get all the numbers under n.",0
"825","14","What is 1 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 8?","0"," 0",1
"841","14","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"maybe by using the 3 points visible",0
"908","15","Is there a pattern to which elements are generators? How ca n you kn ow if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"no",0
"975","16","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"...what? Is it something to do with the dots? Like...every third dot?",0
"1042","17","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing w hether i t can make all the elements?.",,"no idea",0
"1090","18","What is the inverse of 5 under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>?","4","not sure",0
"1091","18","What is the inverse of 2 under <img src=./images/nonagon_symbol.png style=width:14px;height:14px>?","7","not sure",0
"1100","18","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"Odd numbers with respect to an even n, even numbers with respect to an odd n",0
"1167","19","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"im not really sure i can make a pattern for it",0
"1225","20","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"not that I can see except that 1 would always be a generator",0
"1283","21","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"if the sides of the form is divisible by it.

For example a nonagon it's 0 - 3 - 6",0
"1341","22","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"Really certain numbers (particularly even ones) are excluded since they are limited in the amount of numbers they can produce that line up as generators.  Odd Numbers are much more flexible since they can end in anything.",0
"1380","23","Practice: What is 5 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 5?","1","1 ",1
"1399","23","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <im g src= ./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"if x and n are prime with each other, ie they dont have a common divider",0
"1443","24","What is 6 <img src=./images/nonagon_symbol.png style=width:14px;height:14px> 6?","3"," 3",1
"1457","24","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"If an element is a factor of n, or if an element is a multiple of a factor of n, or if the element is the identity, then it is not a generator.  All other elements are generators.",0
"1524","25","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"A pattern may be detected depending on what +n equals. ",0
"1550","26","What is 1 <img src=./images/hexagon_symbol.png style=width:14px;height:14px> 3? Try to solve this problem using the arithmetic technique. <br /><br /> (Remember, to perform <img src=./images/hexagon_symbol.png style=width:14px;height:14px> by arithmetic, you start with the first number, and then add the second one to it. If the sum is smaller than 6, that's your result. If the sum is 6 or bigger, you subtract 6 to get your result.)","4"," 4",1
"1582","26","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"After adding a few formulas together numbers that aren't generators tend to repeat the same answers",0
"1649","27","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"im not sure. ",0
"1717","28","Is there a pattern to which elements are generators? How can  you kno w if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"Yes, if you imagine the x under (n) you can make a pattern",0
"1775","29","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"I'm not sure. I really don't understand generators. I read over it and still do not get it. ",0
"1842","30","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"I think if you create a formula that allows x n y to generate an answer of 0, it could be a generator.",0
"1900","31","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"All numbers of the opposite even/odd as the element is a generator",0
"1928","32","What is 0 +<sub>6</sub> 5? <br /><br /> (Remember, to perform +<sub>6</sub>, you start with the first number, and then add the second one to it. If the sum is smaller than 6, that's your result. If the sum is 6 or bigger, you subtract 6 to get your result.)","5","5
",0
"1958","32","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"I guess I am not sure without working out each element and seeing if they are all there",0
"2016","33","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"I don't know.",0
"2074","34","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"I don't know, because I am not really understanding the generator concept. I guess you would add the numbers one at a time and see if they work?",0
"2132","35","Is there a pattern to which elements are generators? How can you know if an element x is a generator under +<sub>n</sub> without seeing whether it can make all the elements?.",,"by using successive operations, you have to solve for the variables before seeing whether they c an make  any elements",0
"2190","36","Is there a pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"generators are usually the first number and the last number in a sequence (ignoring the identity number (0)). This means that generators would be 1 and n-1",0
"2221","37","What is 1 <img src=./images/hexagon_symbol.png style=width:14px;height:14px> 5? <br /><br /> (Remember, to perform <img src=./images/hexagon_symbol.png style=width:14px;height:14px>, you can use the interactive diagram on the right, or perform the operation in your mind. Point the arrow at the first number on the hexagon, then move the arrow the second number of points clockwise around the hexagon. The number the arrow arrives at is your result.)","0","0
",0
"2222","37","What is 1 <img src=./images/hexagon_symbol.png style=width:14px;height:14px> 1? <br /><br /> (Remember, to perform <img src=./images/hexagon_symbol.png style=width:14px;height:14px>, you can use the interactive diagram on the right, or perform the operation in your mind. Point the arrow at the first number on the hexagon, then move the arrow the second number of points clockwise around the hexagon. The number the arrow arrives at is your result.)","2"," 2",1
"2257","37","Is  there a  pattern to which elements are generators? How can you know if an element x is a generator under <img src=./images/ngon_symbol.png style=width:14px;height:14px> without seeing whether it can make all the elements?.",,"I don't really know what they mean by generators. I read that part many times, but it confused me. ",0
